Timestamp,B1_H_L,B1_V_L,B1_H_R,B1_V_R,B2_H_L,B2_V_L,B2_H_R,B2_V_R
1449158661,-5.5058816030978965,-3.4440605747367017,0.8218970691703462,-0.2793766110613472,-15.938951338044019,-10.29649621604088,6.470146957986644,4.741828804789384
1449158663,-5.602013225841112,-3.4181317878648816,0.8186765341777414,-0.360907915032452,-15.95118418398876,-10.255966174707435,6.449145004278586,4.696348576733595
1449158665,-5.6642231149536135,-3.307452931147028,0.7395498618319553,-0.19277173730149388,-16.012364071003127,-10.326994071043762,6.326125112708311,4.76127210150341
1449158667,-5.692055416961725,-3.2633182647338437,0.7682624126393575,-0.11073615882781462,-16.060468059529885,-10.29024834894459,6.271369957967724,4.634312738869314
1449158669,-5.776795215507484,-3.1851660168493234,0.7143733760561283,-0.09397494733855476,-15.931723446733525,-10.295933296719657,6.3996102641676975,4.658582077798023
1449158671,-5.656246864838443,-3.2453142973618267,0.8358452763692954,-0.20087151002472836,-16.073388670832006,-10.087184839487216,6.439773884616099,4.79603053334181
1449158673,-5.75829977395687,-3.4394609579267392,0.684008539899468,-0.24780426835070085,-15.965644335606965,-10.192520822376581,6.41840617814428,4.930308663692113
1449158675,-5.7861067763443526,-3.4777581083998084,0.7825064988392997,-0.2319640476097116,-16.043728391336902,-10.087894994967591,6.334022273871612,4.80137098442173
1449158677,-5.6331692338511825,-3.431061858754212,0.6760733185761718,-0.17517080056844034,-16.009259334758553,-10.16666345215214,6.423285286804262,4.738072761430368
1449158679,-5.7579931955862,-3.4859393020811225,0.7578943746069855,-0.1900007584229473,-15.904883710750733,-10.296295353500994,6.497587002530682,4.6954212834054365
1449158681,-5.632761606515277,-3.5538967859417143,0.6706219396781887,-0.1889237751747164,-15.954736324007163,-10.16955677947178,6.376862878527651,4.664898016842706
1449158683,-5.668926608988653,-2.9980314639205097,0.7583862565634304,-0.12978779974766175,-15.933081898208627,-10.203762121601551,6.454453356822925,4.514369614622191
1449158685,-5.7890853436624194,-2.9951592230841286,0.7202692690741113,-0.23461844034944546,-16.056213790633816,-10.183126916137542,6.535130189585824,4.594172998134859
1449158687,-5.8092295683539845,-2.7567928877442776,0.7614774660829049,-0.12289928942121728,-15.954057594297097,-10.153670743111162,6.563509719937135,4.476487850495554
1449158689,-5.855447961136003,-2.8480245089875216,0.7545480897910452,-0.014219849808198584,-15.986651530071812,-10.182718057682305,6.549053408879932,4.574827091847074
1449158691,-5.820220015400617,-2.7921925465870827,0.7153901582889901,-0.1351827793777648,-15.88760558279857,-10.175288789837083,6.632680612375302,4.438280572863349
1449158693,-5.904957756599472,-2.8571807517822747,0.5872484478029361,-0.1577002913713021,-15.936439630227929,-10.147886702840077,6.56302574655046,4.438505014354363
1449158695,-5.9349567957720435,-2.816990106413967,0.6593041870086012,-0.24471564864355036,-15.949611963249414,-10.267854517808148,6.632769669790388,4.375269799694183
1449158697,-5.8689502278543495,-2.8895177023374945,0.6767807363385135,-0.20235943985834884,-15.972640565756604,-10.19569868707134,6.514637082143401,4.467883742370887
1449158699,-5.959191722105667,-2.864279517222324,0.7049144979439791,-0.2579453725220203,-15.894724973490462,-10.339452955206934,6.632502967273344,4.457510127461076
1449158701,-6.0674472967099975,-2.8767566676335563,0.5893883093388287,-0.21927189860142213,-16.029777328817357,-10.276036204802336,6.6476172471187995,4.503957948437315
1449158703,-6.037870257833372,-2.8052027225227514,0.665258974095895,-0.2807033128467801,-15.891626941608596,-10.333882665474547,6.698824348707148,4.407743194062399
1449158705,-6.058399907983543,-2.597228294951301,0.8538782339996301,-0.3372522026978697,-15.80510585740736,-10.341089639058278,6.746498093217827,4.3790752747300346
1449158707,-6.060556555538169,-2.7931562419606277,0.7773473259563227,-0.2471487466768637,-15.887246370611503,-10.27009413549728,6.716459723989179,4.574809165497534
1449158709,-6.032965120817839,-3.3848691638820396,0.8574997938639773,-0.3875829316438005,-15.891789961482337,-10.30654315704224,6.644999847988812,4.617037040905761
1449158711,-6.101350998721736,-3.4812935761095445,0.6935772671962727,-0.430361137520252,-15.877880613435712,-10.373059307370593,6.752271106721095,4.785522974939314
1449158713,-6.127432132285353,-3.5754118434303885,0.6768073696180892,-0.3526788202175119,-15.822870196039199,-10.558108554569547,6.666609669757903,4.660029184567455
1449158715,-6.13592402102533,-3.4657280034545694,0.7049043141032719,-0.4499177263494008,-15.949462667158196,-10.41898306207925,6.686459603765804,4.726205913962941
1449158717,-6.100500400020577,-3.4678661941808198,0.6242857561354327,-0.4409218699953798,-15.875351567300939,-10.403083076124185,6.667637908750107,4.8137348946128045
1449158719,-6.02514547385898,-3.567573354620224,0.5636109656005384,-0.3012781988872153,-15.884608910785044,-10.423122782166253,6.651835026548152,4.868002631401696
1449158721,-5.831686837683642,-3.300814951179898,0.7369657059107348,-0.4422702505586511,-15.797764317580931,-10.365158965660084,6.802273303906999,4.867105948451198
1449158723,-6.022736229455129,-3.2479459608259,0.7001303491794076,-0.4529571561612442,-15.750662355767586,-10.360478959500199,6.733181800925302,4.916635310591956
1449158725,-5.966698904326988,-3.3068730385633005,0.7080168897877138,-0.4685193117556593,-15.791929856183074,-10.259307187344278,6.730692642866647,4.8974931896275296
1449158727,-6.050631978889988,-3.296744273741997,0.6750851288519174,-0.632731028042775,-15.756300262042856,-10.433530527489417,6.719052731098602,4.92811975530566
1449158729,-5.954507370547758,-3.2270833903796987,0.6921887456775626,-0.624399129251735,-15.765858124010654,-10.396896996121217,6.754727006475783,4.846523507254551
1449158731,-5.964113852667415,-3.26397782795287,0.6732001573944384,-0.6444807410094234,-15.773060478472347,-10.333006121195261,6.7271525410415265,4.7493648854569805
1449158733,-5.90396205718097,-3.1536417179426084,0.6730784664535219,-0.5133439937311115,-15.767700150672908,-10.315314543864957,6.6842613253206205,4.709866884013877
1449158735,-5.827556264780867,-3.1664277069588604,0.5861728154419195,-0.6737656696465221,-15.776233257136054,-10.353825280223974,6.654352013453102,4.800298099083457
1449158737,-5.879196507947916,-3.1669686429948776,0.6648858341808661,-0.5333964914688295,-15.791813067020092,-10.572568089485463,6.6937801625834465,4.737438691867253
1449158739,-5.984751872867691,-3.169398907731479,0.6374533458370034,-0.5313466477165681,-15.720945170244145,-10.495201596555251,6.6828803658282165,4.985936265208935
1449158741,-5.7425147650332224,-3.220843811125673,0.6705603179325029,-0.42030833526576705,-15.705629274177351,-10.40096524713834,6.688624037310843,4.897261113985938
1449158743,-5.9025221313590395,-3.347443571094211,0.6498241922607203,-0.43819498795249145,-15.757830494005015,-10.408959753990533,6.5271967839785825,4.8818589256660445
1449158745,-5.757112535942451,-3.316895206877738,0.6073021787494363,-0.5514734800072213,-15.7699138060249,-10.446733964172287,6.657062637449981,4.891631945169282
1449158747,-5.8251454252619554,-3.13168552808076,0.4951283313765556,-0.404450864316017,-15.763198129620804,-10.32247958550449,6.679078589729799,4.902751786324702
1449158749,-5.689392728064093,-3.1982287094836512,0.5336548481238,-0.3813850856280544,-15.74795453576905,-10.18771665305743,6.627778753132253,4.995669283799776
1449158751,-5.671065771320003,-3.1774581955824415,0.4991722507571923,-0.3354027809058312,-15.790662093767946,-10.286239639860485,6.670358020162051,4.746541808859341
1449158753,-5.841496484979014,-3.278629716633891,0.4873778325277102,-0.29779435875563665,-15.743878000543587,-10.242327158636568,6.716465019588786,4.958333926232693
1449158755,-5.836460431347718,-3.2137978236952187,0.4292134816985267,-0.3629153233331682,-15.837962898480693,-10.293286769022123,6.6797765344762965,4.835036342527151
1449158757,-5.7886512325303485,-3.2764042388004415,0.424448698606737,-0.22160282544582388,-15.76123016131227,-10.320228146414431,6.611315656655488,4.848665908870157
1449158759,-5.759360503878637,-3.4010530646554202,0.4542067076594558,-0.4113622260320109,-15.807924083402623,-10.326218541843877,6.488274941155634,4.8352626093381295
1449158761,-5.699697615826151,-3.5266794410667037,0.6542704545857612,-0.6219335390904138,-15.731060075147715,-10.348864191242876,6.6564332650196425,4.702897289944798
1449158763,-5.717069254336332,-3.3919730694653065,0.5398892519953594,-0.4335997118210615,-15.726003282518818,-10.268023198007109,6.625142750989381,4.653913008259112
1449158765,-5.673127920973327,-3.3370000569353198,0.5205885403425716,-0.4956035331545386,-15.732246879792216,-10.241096509097977,6.619646290338148,4.467090383514889
1449158767,-5.637866169863736,-3.218706506647576,0.5447187941224321,-0.5628440470574316,-15.708947219768634,-10.174920538526518,6.588852430912413,4.501007335606353
1449158769,-5.809229799917644,-3.4355264915997346,0.399220283086848,-0.4959742166337888,-15.654304462098192,-10.216549672602497,6.7313163224025985,4.479854016030223
1449158771,-5.734891779311365,-3.364521666544721,0.482052330765804,-0.3971662433533715,-15.690341943456128,-10.269839498729098,6.6958866389123415,4.495652883144053
1449158773,-5.803753653055828,-3.4092793044276424,0.5296498445518177,-0.4518006479297548,-15.624781191708847,-10.347029027238962,6.757939461623845,4.394882226430513
1449158775,-5.835014152741338,-3.363084787922728,0.5056276301244148,-0.5568926416195662,-15.653039763734364,-10.33262574542838,6.679033623386951,4.411199391500345
1449158777,-5.738981385241865,-3.4572657455416103,0.4089601939595977,-0.5298404207669289,-15.722921694682901,-10.258829987327914,6.771810381898332,4.397444858165572
1449158779,-5.754908818585006,-3.4245653239081397,0.449611873601618,-0.513432229032984,-15.64035344806545,-10.333740742337877,6.706090667764058,4.518596132009604
1449158781,-5.834920060026781,-3.5132773716517534,0.4112757056515917,-0.571587904119307,-15.691010118554047,-10.373090764141608,6.713715688996418,4.464487191118931
1449158783,-5.746454060478582,-3.4339795045726236,0.4607746194929283,-0.6373471755977993,-15.679909031905035,-10.278797418968992,6.742404289250742,4.508650635069643
1449158785,-5.893471189959617,-3.665771459143037,0.4881717489731772,-0.5525660785192374,-15.672749133209471,-10.38825282803979,6.772017297273522,4.49287685930785
1449158787,-5.841003632997308,-3.7549876660080375,0.4963005354652522,-0.450370624795526,-15.701152736527947,-10.381927509989543,6.71562150380525,4.3644436106773306
1449158789,-5.886601025975244,-3.547863971815791,0.4770528468324123,-0.5172289129859865,-15.585936610114894,-10.359578295229575,6.902855279227157,4.336621895611612
1449158791,-5.938445042627972,-3.637870771889351,0.4237858804275485,-0.4831459144122395,-15.607240952494333,-10.352861749731908,7.052887208093615,4.303690161409458
1449158793,-5.963425400347996,-3.4397506749459694,0.4252108693051413,-0.4485557177228653,-15.689512959638224,-10.29345513791217,6.8582675508919975,4.4943043677560714
