Timestamp,B1_H_L,B1_H_R,B1_V_L,B1_V_R,B2_H_L,B2_H_R,B2_V_L,B2_V_R
1530355607,-5.90626,-4.92705,0.470132,-2.53527,-6.3134,-6.66683,2.9838,3.17695
1530355609,-5.91541,-4.78092,0.486006,-2.69923,-5.72651,-6.75673,3.29677,2.63699
1530355611,-5.64103,-4.97773,0.757994,-3.23134,-5.24118,-6.52716,2.3443,2.51012
1530355613,-5.58823,-4.87991,1.51523,-2.85155,-5.60657,-6.2231,2.85736,1.98334
1530355615,-5.70451,-4.69522,0.813006,-2.60719,-5.57205,-6.59079,3.02189,3.4106
1530355617,-5.57627,-4.89659,0.589161,-2.78178,-5.86939,-6.26284,2.66922,3.1561
1530355619,-5.57295,-4.87227,0.315323,-2.86865,-6.06336,-5.84385,2.16175,2.84956
1530355621,-5.84104,-4.99899,0.363603,-2.25925,-6.28642,-6.24071,2.50775,3.24272
1530355623,-5.4361,-5.06506,-0.0382872,-2.46578,-5.58486,-6.36001,2.6669,4.32928
1530355625,-5.56211,-4.61456,-0.296629,-3.12006,-5.98614,-6.46893,2.80779,3.76497
1530355627,-6.21096,-4.65857,-0.105279,-2.08042,-5.87285,-6.50422,2.86596,3.77227
1530355629,-6.09683,-5.15609,-0.54528,-2.45809,-5.84566,-6.26461,2.60228,2.81939
1530355631,-6.32273,-4.61922,-0.582832,-2.99624,-5.50932,-6.01159,3.43493,2.73722
1530355633,-6.36946,-4.46614,0.10577,-2.97785,-5.93876,-6.07735,2.53026,2.67289
1530355635,-5.79195,-4.59831,-0.437195,-3.30478,-6.37426,-6.63155,2.69337,2.69131
1530355637,-6.42575,-4.60711,-0.0803278,-3.22487,-6.2184,-6.6837,2.20407,2.3712
1530355639,-5.87032,-4.19608,-0.315734,-2.46684,-5.71509,-6.34389,2.13645,3.1583
1530355641,-5.6268,-4.86864,-0.164826,-2.89057,-6.02631,-6.01743,2.76923,2.45286
1530355643,-5.76582,-4.55172,0.21829,-2.42906,-6.27444,-6.30354,1.89369,1.63798
1530355645,-5.40006,-4.5005,-0.169326,-3.06216,-6.26584,-5.93004,1.69065,2.09621
1530355647,-5.45626,-4.91586,0.703762,-2.75832,-6.00517,-6.00328,1.78622,2.23962
1530355649,-5.40805,-4.63283,0.544681,-3.22993,-6.21505,-5.88527,2.09662,1.41687
1530355651,-5.79019,-4.45029,-0.526093,-3.92203,-6.31839,-5.72305,2.19164,0.779917
1530355653,-5.33948,-4.24825,-1.02911,-2.3213,-6.19416,-6.08483,2.52994,1.33573
1530355655,-5.55855,-4.75071,-0.662815,-2.86886,-5.89263,-6.16274,2.85287,1.33921
1530355657,-5.84463,-4.66661,-0.735347,-3.11376,-5.68817,-5.88657,2.97755,1.37172
1530355659,-5.67199,-4.75504,-0.261323,-2.95436,-6.05788,-5.88141,2.40568,1.22742
1530355661,-5.5962,-5.39039,1.0076,-4.24368,-5.60363,-5.0795,2.94291,2.11945
1530355663,-5.21357,-5.00875,-0.764495,-3.36535,-6.11008,-6.11125,2.71571,2.7144
1530355665,-5.0819,-4.92922,0.173059,-3.42466,-5.78207,-6.19812,2.89803,2.06078
1530355667,-4.94649,-4.84987,-0.284049,-3.59096,-5.3277,-6.04332,2.42415,1.99828
1530355669,-4.77678,-5.09106,0.340895,-4.64412,-5.60465,-5.92903,2.3217,2.02807
1530355671,-5.49263,-5.33758,-0.184663,-4.35238,-5.99567,-6.17569,1.97066,2.07183
1530355673,-5.20937,-5.13637,0.0961,-4.31845,-6.59884,-6.31505,2.51171,2.22577
1530355675,-5.97567,-4.8091,-1.23502,-3.78919,-5.84367,-5.70362,2.96222,3.49602
1530355677,-5.70406,-4.5558,-1.84445,-3.96695,-4.62558,-5.55149,2.92058,3.90547
1530355679,-5.73175,-4.7431,-1.06315,-3.59364,-4.69453,-5.29962,2.65438,3.02688
1530355681,-5.46402,-4.46788,-0.589159,-3.49596,-6.04046,-6.26899,2.89003,2.27585
1530355683,-5.81621,-5.06513,-0.175021,-3.94142,-5.84406,-6.41936,2.39422,2.30877
1530355685,-5.53995,-5.23249,-0.679067,-4.24263,-5.76927,-6.72269,2.69319,3.02607
1530355687,-4.64682,-4.68668,-0.382965,-3.9894,-5.91976,-6.57922,2.771,2.97762
1530355689,-5.17916,-4.77456,0.125823,-3.66895,-6.14045,-6.3891,2.5952,3.28829
1530355691,-5.11469,-4.5926,-0.0887537,-3.98625,-5.83373,-6.21573,2.51268,3.60988
1530355693,-5.0422,-4.34442,-0.533379,-3.77586,-5.9164,-6.42918,2.44212,2.78642
1530355695,-4.70157,-4.52226,-1.06395,-3.68429,-6.01423,-6.50185,3.09516,3.52614
1530355697,-5.22632,-4.69214,-0.162395,-2.63325,-6.58904,-6.62467,2.6402,3.44238
1530355699,-4.93807,-4.12958,-0.131975,-2.85959,-6.26659,-6.73599,2.28309,3.01012
